DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
S28800012ABK27GA00000KB001000SSO   0000763800Y
S28800012ABK27GA00000LB001000SSO   0000763600Y
S28800012ABK27GA00000MS001000SSO   0000764800Y
S28800012AAK27GA0000DUS001000SDS   0000549300Y
S28800012AAK27GA0000DVB001000SDS   0000548000Y
S28800012AAK27GA0000DWB000100SPY   0001424100Y
S28800012AAK27GA0000DXS000100SPY   0001426300Y
S28800012AAK27GA0000DYB000100SH    0000618500Y
S28800015AAK27GA0000DZB001000SDS   0000547800Y
S28800075ABK27GA00000NS000100UWM   0000542900Y
S28800075ABK27GA00000OB000100TWM   0000701400Y
S28800075ABK27GA00000PB000100TWM   0000701600Y
S28800075ABK27GA00000QB000100UWM   0000542000Y
S28800075ABK27GA00000RS000100TWM   0000702600Y
